>> ExpansionTester
circle,params: a=1.800000e+00, b=1.800000e+00 (AR=1), c=0, p=20, -2<x,y<2 
k=1e-01	 N=65  	 Min |n|=4.7749e-04	 Max |n|=8.3809e-02	 err=1.930526e-13 	 rate=NaN  	 err_theta=-2.7673      2.7673    -0.37433     0.37433	 err_r=1.8802      1.8802      1.8802      1.8802	 err_dist=0.080201    0.080201    0.080201    0.080201	 err loc (22  44  22  44   ;  5   5  61  61)
k=1e-01	 N=129 	 Min |n|=4.7749e-04	 Max |n|=4.3038e-02	 err=3.224185e-14 	 rate=2.58 	 err_theta=-0.67474     0.67474	 err_r=1.8009      1.8009	 err_dist=0.00087869  0.00087869	 err loc (29  101   ;  110  110)
k=1e-01	 N=257 	 Min |n|=1.3292e-04	 Max |n|=2.1699e-02	 err=1.766075e-13 	 rate=-2.45 	 err_theta=-3.0808      3.0808   -0.060795    0.060795	 err_r=1.8002      1.8002      1.8002      1.8002	 err_dist=0.00020073  0.00020073  0.00020073  0.00020073	 err loc (122  136  122  136   ;  14   14  244  244)
k=1e-01	 N=513 	 Min |n|=8.2057e-05	 Max |n|=1.0900e-02	 err=1.882573e-13 	 rate=-0.09 	 err_theta=-0.71475     0.71475	 err_r=1.7999      1.7999	 err_dist=-0.0001214  -0.0001214	 err loc (106  408   ;  431  431)
k=1e-01	 N=1025	 Min |n|=1.5258e-06	 Max |n|=5.4830e-03	 err=1.310234e-11 	 rate=-6.12 	 err_theta=-0.6422      0.6422	 err_r=1.8         1.8	 err_dist=1.526e-06   1.526e-06	 err loc (237  789   ;  882  882)

k=5e-01	 N=65  	 Min |n|=4.7749e-04	 Max |n|=8.3809e-02	 err=6.035777e-10 	 rate=NaN  	 err_theta=-2.7673      2.7673    -0.37433     0.37433	 err_r=1.8802      1.8802      1.8802      1.8802	 err_dist=0.080201    0.080201    0.080201    0.080201	 err loc (22  44  22  44   ;  5   5  61  61)
k=5e-01	 N=129 	 Min |n|=4.7749e-04	 Max |n|=4.3038e-02	 err=1.844371e-11 	 rate=5.03 	 err_theta=-0.36473     0.36473	 err_r=1.8398      1.8398	 err_dist=0.039773    0.039773	 err loc (44  86   ;  120  120)
k=5e-01	 N=257 	 Min |n|=1.3292e-04	 Max |n|=2.1699e-02	 err=8.830835e-13 	 rate=4.38 	 err_theta=-3.0808      3.0808   -0.060795    0.060795	 err_r=1.8002      1.8002      1.8002      1.8002	 err_dist=0.00020073  0.00020073  0.00020073  0.00020073	 err loc (122  136  122  136   ;  14   14  244  244)
k=5e-01	 N=513 	 Min |n|=8.2057e-05	 Max |n|=1.0900e-02	 err=9.415065e-13 	 rate=-0.09 	 err_theta=-0.71475     0.71475	 err_r=1.7999      1.7999	 err_dist=-0.0001214  -0.0001214	 err loc (106  408   ;  431  431)
k=5e-01	 N=1025	 Min |n|=1.5258e-06	 Max |n|=5.4830e-03	 err=6.551169e-11 	 rate=-6.12 	 err_theta=-0.6422      0.6422	 err_r=1.8         1.8	 err_dist=1.526e-06   1.526e-06	 err loc (237  789   ;  882  882)

k=1  	 N=65  	 Min |n|=4.7749e-04	 Max |n|=8.3809e-02	 err=1.931370e-08 	 rate=NaN  	 err_theta=-2.7673      2.7673    -0.37433     0.37433	 err_r=1.8802      1.8802      1.8802      1.8802	 err_dist=0.080201    0.080201    0.080201    0.080201	 err loc (22  44  22  44   ;  5   5  61  61)
k=1  	 N=129 	 Min |n|=4.7749e-04	 Max |n|=4.3038e-02	 err=5.902143e-10 	 rate=5.03 	 err_theta=-0.36473     0.36473	 err_r=1.8398      1.8398	 err_dist=0.039773    0.039773	 err loc (44  86   ;  120  120)
k=1  	 N=257 	 Min |n|=1.3292e-04	 Max |n|=2.1699e-02	 err=1.744420e-11 	 rate=5.08 	 err_theta=-2.7818      2.7818	 err_r=1.8196      1.8196	 err_dist=0.019625    0.019625	 err loc (88  170   ;  20  20)
k=1  	 N=513 	 Min |n|=8.2057e-05	 Max |n|=1.0900e-02	 err=1.883006e-12 	 rate=3.21 	 err_theta=-0.71475     0.71475	 err_r=1.7999      1.7999	 err_dist=-0.0001214  -0.0001214	 err loc (106  408   ;  431  431)
k=1  	 N=1025	 Min |n|=1.5258e-06	 Max |n|=5.4830e-03	 err=1.310235e-10 	 rate=-6.12 	 err_theta=-0.6422      0.6422	 err_r=1.8         1.8	 err_dist=1.526e-06   1.526e-06	 err loc (237  789   ;  882  882)

k=2  	 N=65  	 Min |n|=4.7749e-04	 Max |n|=8.3809e-02	 err=6.179361e-07 	 rate=NaN  	 err_theta=-2.7673      2.7673    -0.37433     0.37433	 err_r=1.8802      1.8802      1.8802      1.8802	 err_dist=0.080201    0.080201    0.080201    0.080201	 err loc (22  44  22  44   ;  5   5  61  61)
k=2  	 N=129 	 Min |n|=4.7749e-04	 Max |n|=4.3038e-02	 err=1.888611e-08 	 rate=5.03 	 err_theta=-0.36473     0.36473	 err_r=1.8398      1.8398	 err_dist=0.039773    0.039773	 err loc (44  86   ;  120  120)
k=2  	 N=257 	 Min |n|=1.3292e-04	 Max |n|=2.1699e-02	 err=5.576527e-10 	 rate=5.08 	 err_theta=-2.7818      2.7818	 err_r=1.8196      1.8196	 err_dist=0.019625    0.019625	 err loc (88  170   ;  20  20)
k=2  	 N=513 	 Min |n|=8.2057e-05	 Max |n|=1.0900e-02	 err=1.883576e-11 	 rate=4.89 	 err_theta=-0.43241     0.43241	 err_r=1.7897      1.7897	 err_dist=-0.010272   -0.010272	 err loc (161  353   ;  465  465)
k=2  	 N=1025	 Min |n|=1.5258e-06	 Max |n|=5.4830e-03	 err=2.620469e-10 	 rate=-3.80 	 err_theta=-0.6422      0.6422	 err_r=1.8         1.8	 err_dist=1.526e-06   1.526e-06	 err loc (237  789   ;  882  882)

k=3  	 N=65  	 Min |n|=4.7749e-04	 Max |n|=8.3809e-02	 err=4.691156e-06 	 rate=NaN  	 err_theta=-2.7673      2.7673    -0.37433     0.37433	 err_r=1.8802      1.8802      1.8802      1.8802	 err_dist=0.080201    0.080201    0.080201    0.080201	 err loc (22  44  22  44   ;  5   5  61  61)
k=3  	 N=129 	 Min |n|=4.7749e-04	 Max |n|=4.3038e-02	 err=1.434066e-07 	 rate=5.03 	 err_theta=-0.36473     0.36473	 err_r=1.8398      1.8398	 err_dist=0.039773    0.039773	 err loc (44  86   ;  120  120)
k=3  	 N=257 	 Min |n|=1.3292e-04	 Max |n|=2.1699e-02	 err=4.234378e-09 	 rate=5.08 	 err_theta=-2.7818      2.7818	 err_r=1.8196      1.8196	 err_dist=0.019625    0.019625	 err loc (88  170   ;  20  20)
k=3  	 N=513 	 Min |n|=8.2057e-05	 Max |n|=1.0900e-02	 err=1.429464e-10 	 rate=4.89 	 err_theta=-2.7092      2.7092    -0.43241     0.43241	 err_r=1.7897      1.7897      1.7897      1.7897	 err_dist=-0.010272   -0.010272   -0.010272   -0.010272	 err loc (161  353  161  353   ;  49   49  465  465)
k=3  	 N=1025	 Min |n|=1.5258e-06	 Max |n|=5.4830e-03	 err=3.930699e-10 	 rate=-1.46 	 err_theta=-0.6422      0.6422	 err_r=1.8         1.8	 err_dist=1.526e-06   1.526e-06	 err loc (237  789   ;  882  882)

k=5  	 N=65  	 Min |n|=4.7749e-04	 Max |n|=8.3809e-02	 err=6.027533e-05 	 rate=NaN  	 err_theta=-2.7673      2.7673    -0.37433     0.37433	 err_r=1.8802      1.8802      1.8802      1.8802	 err_dist=0.080201    0.080201    0.080201    0.080201	 err loc (22  44  22  44   ;  5   5  61  61)
k=5  	 N=129 	 Min |n|=4.7749e-04	 Max |n|=4.3038e-02	 err=1.843817e-06 	 rate=5.03 	 err_theta=-0.36473     0.36473	 err_r=1.8398      1.8398	 err_dist=0.039773    0.039773	 err loc (44  86   ;  120  120)
k=5  	 N=257 	 Min |n|=1.3292e-04	 Max |n|=2.1699e-02	 err=5.445091e-08 	 rate=5.08 	 err_theta=-2.7818      2.7818	 err_r=1.8196      1.8196	 err_dist=0.019625    0.019625	 err loc (88  170   ;  20  20)
k=5  	 N=513 	 Min |n|=8.2057e-05	 Max |n|=1.0900e-02	 err=1.838032e-09 	 rate=4.89 	 err_theta=-2.7092      2.7092	 err_r=1.7897      1.7897	 err_dist=-0.010272   -0.010272	 err loc (161  353   ;  49  49)
k=5  	 N=1025	 Min |n|=1.5258e-06	 Max |n|=5.4830e-03	 err=6.551177e-10 	 rate=1.49 	 err_theta=-0.6422      0.6422	 err_r=1.8         1.8	 err_dist=1.526e-06   1.526e-06	 err loc (237  789   ;  882  882)

k=10 	 N=65  	 Min |n|=4.7749e-04	 Max |n|=8.3809e-02	 err=1.920841e-03 	 rate=NaN  	 err_theta=-2.7673      2.7673    -0.37433     0.37433	 err_r=1.8802      1.8802      1.8802      1.8802	 err_dist=0.080201    0.080201    0.080201    0.080201	 err loc (22  44  22  44   ;  5   5  61  61)
k=10 	 N=129 	 Min |n|=4.7749e-04	 Max |n|=4.3038e-02	 err=5.894157e-05 	 rate=5.03 	 err_theta=-0.36473     0.36473	 err_r=1.8398      1.8398	 err_dist=0.039773    0.039773	 err loc (44  86   ;  120  120)
k=10 	 N=257 	 Min |n|=1.3292e-04	 Max |n|=2.1699e-02	 err=1.741989e-06 	 rate=5.08 	 err_theta=-2.7818      2.7818	 err_r=1.8196      1.8196	 err_dist=0.019625    0.019625	 err loc (88  170   ;  20  20)
k=10 	 N=513 	 Min |n|=8.2057e-05	 Max |n|=1.0900e-02	 err=5.881209e-08 	 rate=4.89 	 err_theta=-2.7092      2.7092	 err_r=1.7897      1.7897	 err_dist=-0.010272   -0.010272	 err loc (161  353   ;  49  49)
k=10 	 N=1025	 Min |n|=1.5258e-06	 Max |n|=5.4830e-03	 err=1.876219e-09 	 rate=4.97 	 err_theta=-0.36282     0.36282	 err_r=1.805       1.805	 err_dist=0.0050088   0.0050088	 err loc (349  677   ;  945  945)
clc
ExpansionTester
ellipse,params: a=1.800000e+00, b=9.000000e-01 (AR=2), c=0, p=20, -2<x,y<2 
k=1e-01	 N=65  	 Min |n|=4.0914e-04	 Max |n|=8.7123e-02	 err=1.317255e-13 	 rate=NaN  	 err_theta=-0.21109     0.21109	 err_r=1.7897      1.7897	 err_dist=0.087123    0.087123	 err loc (27  39   ;  61  61)
k=1e-01	 N=129 	 Min |n|=2.5034e-04	 Max |n|=4.3332e-02	 err=5.801397e-14 	 rate=1.18 	 err_theta=-0.18311     0.18311	 err_r=1.7162      1.7162	 err_dist=-0.00040914 -0.00040914	 err loc (55  75   ;  119  119)
k=1e-01	 N=257 	 Min |n|=6.7871e-05	 Max |n|=2.1618e-02	 err=1.439627e-13 	 rate=-1.31 	 err_theta=-0.3505      0.3505	 err_r=1.5472      1.5472	 err_dist=9.2945e-05  9.2945e-05	 err loc (95  163   ;  222  222)
k=1e-01	 N=513 	 Min |n|=5.6523e-05	 Max |n|=1.0764e-02	 err=2.490685e-13 	 rate=-0.79 	 err_theta=-3.0123      3.0123	 err_r=1.7569      1.7569	 err_dist=0.00013738  0.00013738	 err loc (228  286   ;  34  34)
k=1e-01	 N=1025	 Min |n|=1.0587e-06	 Max |n|=5.4442e-03	 err=1.357858e-11 	 rate=-5.77 	 err_theta=-2.7837      2.7837    -0.35788     0.35788	 err_r=1.5389      1.5389      1.5389      1.5389	 err_dist=1.0587e-06  1.0587e-06  1.0587e-06  1.0587e-06	 err loc (375  651  375  651   ;  144  144  882  882)

k=5e-01	 N=65  	 Min |n|=4.0914e-04	 Max |n|=8.7123e-02	 err=4.118503e-10 	 rate=NaN  	 err_theta=-0.21109     0.21109	 err_r=1.7897      1.7897	 err_dist=0.087123    0.087123	 err loc (27  39   ;  61  61)
k=5e-01	 N=129 	 Min |n|=2.5034e-04	 Max |n|=4.3332e-02	 err=1.547225e-11 	 rate=4.73 	 err_theta=-3.0556      3.0556   -0.085994    0.085994	 err_r=1.8192      1.8192      1.8192      1.8192	 err_dist=0.037728    0.037728    0.037728    0.037728	 err loc (60  70  60  70   ;  7    7  123  123)
k=5e-01	 N=257 	 Min |n|=6.7871e-05	 Max |n|=2.1618e-02	 err=7.195579e-13 	 rate=4.43 	 err_theta=-0.3505      0.3505	 err_r=1.5472      1.5472	 err_dist=9.2945e-05  9.2945e-05	 err loc (95  163   ;  222  222)
k=5e-01	 N=513 	 Min |n|=5.6523e-05	 Max |n|=1.0764e-02	 err=1.245103e-12 	 rate=-0.79 	 err_theta=-3.0123      3.0123	 err_r=1.7569      1.7569	 err_dist=0.00013738  0.00013738	 err loc (228  286   ;  34  34)
k=5e-01	 N=1025	 Min |n|=1.0587e-06	 Max |n|=5.4442e-03	 err=6.789278e-11 	 rate=-5.77 	 err_theta=-2.7837      2.7837    -0.35788     0.35788	 err_r=1.5389      1.5389      1.5389      1.5389	 err_dist=1.0587e-06  1.0587e-06  1.0587e-06  1.0587e-06	 err loc (375  651  375  651   ;  144  144  882  882)

k=1  	 N=65  	 Min |n|=4.0914e-04	 Max |n|=8.7123e-02	 err=1.317876e-08 	 rate=NaN  	 err_theta=-0.21109     0.21109	 err_r=1.7897      1.7897	 err_dist=0.087123    0.087123	 err loc (27  39   ;  61  61)
k=1  	 N=129 	 Min |n|=2.5034e-04	 Max |n|=4.3332e-02	 err=4.952099e-10 	 rate=4.73 	 err_theta=-3.0556      3.0556   -0.085994    0.085994	 err_r=1.8192      1.8192      1.8192      1.8192	 err_dist=0.037728    0.037728    0.037728    0.037728	 err loc (60  70  60  70   ;  7    7  123  123)
k=1  	 N=257 	 Min |n|=6.7871e-05	 Max |n|=2.1618e-02	 err=1.455140e-11 	 rate=5.09 	 err_theta=-3.0367      3.0367	 err_r=1.7911      1.7911	 err_dist=0.019145    0.019145	 err loc (117  141   ;  15  15)
k=1  	 N=513 	 Min |n|=5.6523e-05	 Max |n|=1.0764e-02	 err=2.490364e-12 	 rate=2.55 	 err_theta=-3.0123      3.0123	 err_r=1.7569      1.7569	 err_dist=0.00013738  0.00013738	 err loc (228  286   ;  34  34)
k=1  	 N=1025	 Min |n|=1.0587e-06	 Max |n|=5.4442e-03	 err=1.357857e-10 	 rate=-5.77 	 err_theta=-2.7837      2.7837    -0.35788     0.35788	 err_r=1.5389      1.5389      1.5389      1.5389	 err_dist=1.0587e-06  1.0587e-06  1.0587e-06  1.0587e-06	 err loc (375  651  375  651   ;  144  144  882  882)

k=2  	 N=65  	 Min |n|=4.0914e-04	 Max |n|=8.7123e-02	 err=4.216603e-07 	 rate=NaN  	 err_theta=-0.21109     0.21109	 err_r=1.7897      1.7897	 err_dist=0.087123    0.087123	 err loc (27  39   ;  61  61)
k=2  	 N=129 	 Min |n|=2.5034e-04	 Max |n|=4.3332e-02	 err=1.584631e-08 	 rate=4.73 	 err_theta=-3.0556      3.0556   -0.085994    0.085994	 err_r=1.8192      1.8192      1.8192      1.8192	 err_dist=0.037728    0.037728    0.037728    0.037728	 err loc (60  70  60  70   ;  7    7  123  123)
k=2  	 N=257 	 Min |n|=6.7871e-05	 Max |n|=2.1618e-02	 err=4.660460e-10 	 rate=5.09 	 err_theta=-3.0367      3.0367	 err_r=1.7911      1.7911	 err_dist=0.019145    0.019145	 err loc (117  141   ;  15  15)
k=2  	 N=513 	 Min |n|=5.6523e-05	 Max |n|=1.0764e-02	 err=1.855263e-11 	 rate=4.65 	 err_theta=-3.0255      3.0255    -0.11607     0.11607	 err_r=1.754       1.754       1.754       1.754	 err_dist=-0.010295   -0.010295   -0.010295   -0.010295	 err loc (231  283  231  283   ;  34   34  480  480)
k=2  	 N=1025	 Min |n|=1.0587e-06	 Max |n|=5.4442e-03	 err=2.715715e-10 	 rate=-3.87 	 err_theta=-2.7837      2.7837    -0.35788     0.35788	 err_r=1.5389      1.5389      1.5389      1.5389	 err_dist=1.0587e-06  1.0587e-06  1.0587e-06  1.0587e-06	 err loc (375  651  375  651   ;  144  144  882  882)

k=3  	 N=65  	 Min |n|=4.0914e-04	 Max |n|=8.7123e-02	 err=3.201223e-06 	 rate=NaN  	 err_theta=-0.21109     0.21109	 err_r=1.7897      1.7897	 err_dist=0.087123    0.087123	 err loc (27  39   ;  61  61)
k=3  	 N=129 	 Min |n|=2.5034e-04	 Max |n|=4.3332e-02	 err=1.203253e-07 	 rate=4.73 	 err_theta=-3.0556      3.0556   -0.085994    0.085994	 err_r=1.8192      1.8192      1.8192      1.8192	 err_dist=0.037728    0.037728    0.037728    0.037728	 err loc (60  70  60  70   ;  7    7  123  123)
k=3  	 N=257 	 Min |n|=6.7871e-05	 Max |n|=2.1618e-02	 err=3.539146e-09 	 rate=5.09 	 err_theta=-3.0367      3.0367	 err_r=1.7911      1.7911	 err_dist=0.019145    0.019145	 err loc (117  141   ;  15  15)
k=3  	 N=513 	 Min |n|=5.6523e-05	 Max |n|=1.0764e-02	 err=1.410480e-10 	 rate=4.65 	 err_theta=-3.0255      3.0255    -0.11607     0.11607	 err_r=1.754       1.754       1.754       1.754	 err_dist=-0.010295   -0.010295   -0.010295   -0.010295	 err loc (231  283  231  283   ;  34   34  480  480)
k=3  	 N=1025	 Min |n|=1.0587e-06	 Max |n|=5.4442e-03	 err=4.073574e-10 	 rate=-1.53 	 err_theta=-2.7837      2.7837    -0.35788     0.35788	 err_r=1.5389      1.5389      1.5389      1.5389	 err_dist=1.0587e-06  1.0587e-06  1.0587e-06  1.0587e-06	 err loc (375  651  375  651   ;  144  144  882  882)

k=5  	 N=65  	 Min |n|=4.0914e-04	 Max |n|=8.7123e-02	 err=4.113677e-05 	 rate=NaN  	 err_theta=-0.21109     0.21109	 err_r=1.7897      1.7897	 err_dist=0.087123    0.087123	 err loc (27  39   ;  61  61)
k=5  	 N=129 	 Min |n|=2.5034e-04	 Max |n|=4.3332e-02	 err=1.547078e-06 	 rate=4.73 	 err_theta=-3.0556      3.0556   -0.085994    0.085994	 err_r=1.8192      1.8192      1.8192      1.8192	 err_dist=0.037728    0.037728    0.037728    0.037728	 err loc (60  70  60  70   ;  7    7  123  123)
k=5  	 N=257 	 Min |n|=6.7871e-05	 Max |n|=2.1618e-02	 err=4.551190e-08 	 rate=5.09 	 err_theta=-3.0367      3.0367	 err_r=1.7911      1.7911	 err_dist=0.019145    0.019145	 err loc (117  141   ;  15  15)
